130916_at,MTERFD2
131_at,ADH7
1310_at,COL19A1
1311_at,COMP
1312_at,COMT
1314_at,COPA
131408_at,FAM131A
1315_at,COPB1
131544_at,DKFZp667G2110
131566_at,DCBLD2
131578_at,LRRC15
1316_at,KLF6
131601_at,GPR175
1317_at,SLC31A1
1318_at,SLC31A2
132_at,ADK
1326_at,MAP3K8
1327_at,COX4I1
1329_at,COX5B
133_at,ADM
133619_at,PRRC1
1339_at,COX6A2
134_at,ADORA1
1340_at,COX6B1
1345_at,COX6C
1346_at,COX7A1
1347_at,COX7A2
1349_at,COX7B
135_at,ADORA2A
1350_at,COX7C
1351_at,COX8A
135138_at,PACRG
1352_at,COX10
1353_at,COX11
1355_at,COX15
1356_at,CP
